Tarih_Saat,Video_sn,Sinif,Guven_%,Iz_ID,Kanit_Dosyasi
2026-07-14 16:59:17,4.2,fire,69.1,2,fire_iz2_20260714_165917.jpg
2026-07-14 16:59:18,6.5,smoke,79.5,3,smoke_iz3_20260714_165918.jpg
2026-07-14 16:59:28,4.2,fire,69.1,2,fire_iz2_20260714_165928.jpg
2026-07-14 16:59:29,6.5,smoke,79.5,3,smoke_iz3_20260714_165929.jpg
2026-07-14 17:05:15,4.2,fire,69.1,2,fire_iz2_20260714_170515.jpg
2026-07-14 17:05:15,6.5,smoke,79.5,3,smoke_iz3_20260714_170515.jpg
2026-07-14 17:10:15,3.8,fire,72.5,1,fire_iz1_20260714_171015.jpg
2026-07-14 17:10:15,6.5,smoke,76.5,2,smoke_iz2_20260714_171015.jpg
2026-07-14 17:10:24,3.8,fire,72.5,1,fire_iz1_20260714_171024.jpg
2026-07-14 17:10:25,6.5,smoke,76.5,2,smoke_iz2_20260714_171025.jpg
2026-07-14 17:27:07,3.8,fire,72.5,1,fire_iz1_20260714_172707.jpg
2026-07-14 17:27:08,6.5,smoke,76.5,2,smoke_iz2_20260714_172708.jpg
2026-07-14 17:27:15,3.8,fire,72.5,1,fire_iz1_20260714_172715.jpg
2026-07-14 17:27:16,6.5,smoke,76.5,2,smoke_iz2_20260714_172716.jpg
2026-07-14 17:44:13,0.8,smoke,72.3,1,smoke_iz1_20260714_174413.jpg
2026-07-14 17:44:15,4.4,smoke,73.5,2,smoke_iz2_20260714_174415.jpg
2026-07-14 17:44:23,0.8,smoke,72.3,1,smoke_iz1_20260714_174423.jpg
2026-07-14 17:44:25,4.4,smoke,73.5,2,smoke_iz2_20260714_174425.jpg
2026-07-16 16:49:24,191.4,smoke,68.9,1,smoke_iz1_20260716_164924.jpg
2026-07-16 16:49:36,204.1,smoke,79.2,8,smoke_iz8_20260716_164936.jpg
2026-07-16 16:49:47,214.5,fire,67.8,16,fire_iz16_20260716_164947.jpg
2026-07-28 10:20:08,4.2,fire,69.1,2,fire_iz2_20260728_102008.jpg
2026-07-28 10:20:09,6.5,smoke,79.5,3,smoke_iz3_20260728_102009.jpg
