Plaka,Tarih_Saat,Guven_%
42 AEH 738,2026-07-09 15:29:13,96.4
35 N 0081,2026-07-09 15:29:13,99.9
06 DB 2098,2026-07-09 15:29:13,100.0
34 BLM 34,2026-07-09 15:29:13,99.6
34 CEM 68,2026-07-09 15:29:13,100.0
06 ABY 325,2026-07-09 15:29:13,99.4
42 ALD 013,2026-07-09 15:29:13,81.6
20 AFB 280,2026-07-09 15:29:13,99.3
34 N 5953,2026-07-09 15:29:13,96.2
06 EY 4136,2026-07-09 15:29:13,87.2
06 AB 8655,2026-07-09 15:29:13,99.6
34 VH 4964,2026-07-09 15:29:13,95.6
14 ADU 343,2026-07-09 15:29:13,99.0
06 FGA 628,2026-07-09 15:29:13,97.6
33 AHP 796,2026-07-09 15:29:13,74.0
55 AAH 920,2026-07-09 15:29:13,99.4
