Plaka,Tarih_Saat,Guven_%,Video_sn
35 FR 056,2026-07-08 14:52:45,96.6,10.5
34 JH 4438,2026-07-08 14:53:08,96.8,15.5
34 FR 2876,2026-07-08 14:54:20,97.7,185.9
35 FR 056,2026-07-08 15:02:26,96.6,10.5
34 JH 4438,2026-07-08 15:02:44,96.8,15.5
34 FR 2876,2026-07-08 15:03:47,97.7,185.9
35 FR 056,2026-07-08 15:10:51,96.6,10.5
34 JH 442,2026-07-08 15:11:07,95.1,15.5
35 FR 056,2026-07-08 15:14:47,96.6,10.5
34 JH 4438,2026-07-08 15:14:54,82.1,15.5
35 FR 056,2026-07-08 15:17:31,96.6,10.5
34 JH 4438,2026-07-08 15:17:55,96.8,15.5
34 FR 2876,2026-07-08 15:19:04,97.7,185.9
35 FR 056,2026-07-08 15:38:00,89.2,10.5
34 JH 4438,2026-07-08 15:38:11,89.9,15.5
35 G 0056,2026-07-08 15:38:14,60.0,18.0
