Tarih_Saat,Video_sn,kisi,baret_var,baret_yok,yelek_var,yelek_yok
2026-07-22 11:11:38,0.5,0,0,1,0,0
2026-07-22 11:11:38,0.8,1,0,2,0,1
2026-07-22 11:11:38,1.1,1,0,2,0,0
2026-07-22 11:11:39,1.4,1,0,1,0,0
2026-07-22 11:11:39,1.6,1,0,1,0,0
2026-07-22 11:11:39,1.9,1,0,1,0,0
2026-07-22 11:11:39,2.1,1,0,1,0,0
2026-07-22 11:11:40,2.4,1,0,1,0,0
2026-07-22 11:11:40,2.7,1,0,1,0,0
2026-07-22 11:11:40,2.9,1,0,2,0,0
2026-07-22 11:11:40,3.2,1,0,2,0,0
2026-07-22 11:11:41,3.5,1,0,2,0,0
2026-07-22 11:11:41,3.7,2,0,2,0,0
2026-07-22 11:11:41,4.0,1,0,2,0,0
2026-07-22 11:11:42,4.3,2,0,2,0,0
2026-07-22 11:11:42,4.5,2,0,2,0,0
2026-07-22 11:11:42,4.8,3,0,2,0,0
2026-07-22 11:11:42,5.1,2,0,2,0,0
2026-07-22 11:11:43,5.4,1,0,2,0,0
2026-07-22 11:11:43,5.7,1,0,2,0,0
2026-07-22 11:11:43,5.9,2,0,2,0,0
2026-07-22 11:11:44,6.2,2,0,2,0,0
2026-07-22 11:11:44,6.5,2,0,2,0,0
2026-07-22 11:11:44,6.8,2,0,2,0,0
2026-07-22 11:11:44,7.0,2,0,2,0,0
2026-07-22 11:11:45,7.3,2,0,2,0,0
2026-07-22 11:11:45,7.5,1,0,2,0,0
2026-07-22 11:11:45,7.8,1,0,2,0,0
2026-07-22 11:11:45,8.1,2,0,2,0,0
2026-07-22 11:11:46,8.3,2,0,2,0,0
2026-07-22 11:11:46,8.6,2,0,2,0,0
2026-07-22 11:11:46,8.9,2,0,2,0,0
2026-07-22 11:11:46,9.2,2,0,2,0,0
2026-07-22 11:11:47,9.4,2,0,2,0,0
2026-07-22 11:11:47,9.7,2,0,2,0,0
2026-07-22 11:11:47,10.0,2,0,2,0,0
2026-07-22 11:11:48,10.2,2,0,2,0,0
2026-07-22 11:11:48,10.5,1,0,2,0,0
2026-07-22 11:11:48,10.8,1,0,2,0,0
2026-07-22 11:11:48,11.0,1,0,2,0,0
2026-07-22 11:11:49,11.3,1,0,2,0,0
2026-07-22 11:11:49,11.6,0,0,2,0,0
2026-07-22 11:11:49,11.8,0,0,2,0,0
2026-07-22 11:11:49,12.1,1,0,2,0,0
2026-07-22 11:11:50,12.4,1,0,2,0,0
2026-07-22 11:11:50,12.6,2,0,2,0,0
2026-07-22 11:11:50,12.9,2,0,2,0,0
2026-07-22 11:11:50,13.2,2,0,2,0,1
2026-07-22 11:11:51,13.4,2,0,2,0,1
2026-07-22 11:11:51,13.7,2,0,2,0,1
2026-07-22 11:11:51,14.0,2,0,2,0,1
2026-07-22 11:11:52,14.2,2,0,2,0,1
2026-07-22 11:11:52,14.5,2,0,2,0,1
2026-07-22 11:11:52,14.8,2,0,2,0,1
2026-07-22 11:11:52,15.1,2,0,2,0,0
2026-07-22 11:11:53,15.3,2,0,2,0,1
2026-07-22 11:11:53,15.6,2,0,2,0,1
2026-07-22 11:11:53,15.9,2,0,2,0,1
2026-07-22 11:11:53,16.1,1,0,2,0,1
2026-07-22 11:11:54,16.4,2,0,2,0,1
2026-07-22 11:11:54,16.7,2,0,2,0,1
2026-07-22 11:11:54,16.9,2,0,2,0,0
2026-07-22 11:11:55,17.2,2,0,2,0,0
2026-07-22 11:11:55,17.5,2,0,2,0,0
2026-07-22 11:11:55,17.7,1,0,1,0,0
2026-07-22 11:11:55,18.0,0,0,1,0,0
2026-07-22 11:11:56,18.3,0,0,1,0,0
2026-07-22 11:11:56,18.6,1,0,2,0,0
2026-07-22 11:11:56,18.9,1,0,2,0,0
2026-07-22 11:11:56,19.1,1,0,2,0,0
2026-07-22 11:11:57,19.4,1,0,2,0,0
2026-07-22 11:11:57,19.7,3,0,2,0,0
2026-07-22 11:11:57,19.9,2,0,2,0,0
2026-07-22 11:11:57,20.2,1,0,2,0,0
2026-07-22 11:11:58,20.4,3,0,2,0,0
2026-07-22 11:11:58,20.7,2,0,2,0,0
2026-07-22 11:11:58,21.0,2,0,2,0,0
2026-07-22 11:11:59,21.3,2,0,2,0,1
2026-07-22 11:11:59,21.5,2,0,3,0,0
2026-07-22 11:11:59,21.8,2,0,2,0,0
2026-07-22 11:11:59,22.1,2,0,2,0,0
2026-07-22 11:12:00,22.3,2,0,2,0,0
2026-07-22 11:12:00,22.6,1,0,2,0,1
2026-07-22 11:12:00,22.9,1,0,2,0,0
2026-07-22 11:12:00,23.2,1,0,2,0,0
2026-07-22 11:12:01,23.4,1,0,2,0,1
2026-07-22 11:12:01,23.7,1,0,2,0,1
2026-07-22 11:12:01,24.0,2,0,2,0,1
2026-07-22 11:12:02,24.2,2,0,2,0,1
2026-07-22 11:12:02,24.5,1,0,2,0,0
2026-07-22 11:12:02,24.8,1,0,2,0,0
2026-07-22 11:12:02,25.0,1,0,2,0,0
2026-07-22 11:12:03,25.3,1,0,2,0,0
2026-07-22 11:12:03,25.6,1,0,1,0,0
2026-07-22 11:12:03,25.8,1,0,1,0,0
2026-07-22 11:12:03,26.1,2,0,1,0,0
2026-07-22 11:12:04,26.4,1,0,1,0,0
